GeoFIPS,GeoName,Region,TableName,LineCode,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""01123"" ","Tallapoosa, AL",5,CAGDP2,1,All industry total,Thousands of dollars,765983,735763,799103,915360,1020378,949603,945793,948488,904029,1025398,1088021,1146236,1134500,1215873,1289888,1343043,1277695,1347920
" ""01125"" ","Tuscaloosa, AL",5,CAGDP2,1,All industry total,Thousands of dollars,5116983,5393295,5869211,6520722,7367929,7690217,8419953,8459865,7530789,8106142,9533451,9382954,9335838,8952566,8732666,8644836,9177095,9793605
" ""01127"" ","Walker, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1221813,1285123,1404801,1503161,1611093,1674308,1710484,1775287,1780634,1857236,1831404,1795958,1851424,1870241,2029669,1968300,2102696,2279488
" ""01129"" ","Washington, AL",5,CAGDP2,1,All industry total,Thousands of dollars,559454,511648,559992,613826,581777,675586,740406,705797,767413,824498,798267,742552,789194,875428,793680,859530,879069,930752
" ""01131"" ","Wilcox, AL",5,CAGDP2,1,All industry total,Thousands of dollars,292929,290665,273359,327579,343053,382051,370613,352749,405954,388565,364949,353909,385274,383586,396066,401932,408633,423124
" ""01133"" ","Winston, AL",5,CAGDP2,1,All industry total,Thousands of dollars,536899,542349,530809,601783,637402,656424,626179,583664,540634,595854,601117,618744,666046,663567,687184,688533,732864,778730
" ""02000"" ",Alaska,8,CAGDP2,1,All industry total,Thousands of dollars,28420361,29605348,31799747,34970743,39774817,44435347,48972565,54752445,49585892,52882517,56259944,57670130,56622784,55523440,50641572,49363445,51803075,54734063
" ""02013"" ","Aleutians East Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,136664,107135,125221,160110,163508,170901,193061,208272,235062,158459,125603,124827,145240,146190,201166,224010,227152,222998
" ""02016"" ","Aleutians West Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,246513,254390,293713,318306,407743,377295,365490,338173,346813,313987,334449,367118,393724,399609,408483,414373,393534,402763
" ""02020"" ","Anchorage Municipality, AK",8,CAGDP2,1,All industry total,Thousands of dollars,12312100,12680471,13311309,13908993,14915452,15543000,16431740,17712171,18267959,19561400,20264175,20750943,20725857,21009633,21734127,21507022,21518707,22478485
" ""02050"" ","Bethel Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,386942,439121,467854,478415,488778,454273,466847,468653,512795,550888,603358,632455,644349,642544,651842,652654,664233,694275
" ""02060"" ","Bristol Bay Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,63906,65739,77334,83394,98662,112385,125316,115896,132435,121368,112371,112665,124346,127729,124644,131268,128832,147230
" ""02068"" ","Denali Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,123416,127329,126344,141586,151918,162057,169859,200032,197221,193185,184980,189064,244660,255395,248824,241122,251617,261017
" ""02070"" ","Dillingham Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,163505,170734,174343,171676,183896,185640,190171,194073,218962,231288,229785,238161,246405,262165,271559,271677,272666,282398
" ""02090"" ","Fairbanks North Star Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,3969472,3495493,3676564,3903255,4320814,4792573,5145219,5639122,5629911,5849899,5718568,5562537,5576011,5760223,5845101,5864686,6040827,6310217
" ""02100"" ","Haines Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,56770,57926,58856,65735,70056,76367,78862,78471,82953,85987,84873,86324,94042,94893,101928,101882,108316,113739
" ""02105"" ","Hoonah-Angoon Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,(NA),(NA),(NA),(NA),(NA),(NA),(NA),61736,60733,67186,71576,73050,77898,78608,80800,75898,80510,85789
" ""02110"" ","Juneau City and Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,1298882,1319069,1400692,1470631,1563594,1771576,1931947,1885619,1951970,2175511,2296538,2326725,2331302,2360820,2287244,2325642,2465591,2523878
" ""02122"" ","Kenai Peninsula Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,1682001,1696455,1859302,2002242,2017333,2255826,2368609,2451163,2324400,2479250,2598187,2633175,2778845,2999190,2842819,2675139,2785111,2992735
" ""02130"" ","Ketchikan Gateway Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,539006,542986,556283,566884,607143,637722,698494,731551,773697,781470,804120,831304,857825,863220,894395,887957,896222,927658
" ""02150"" ","Kodiak Island Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,470123,473443,501861,522424,549218,575780,606369,619103,689290,692435,709980,742360,779414,800092,835484,794134,799176,814784
" ""02158"" ","Kusilvak Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,78169,82648,92713,96741,96673,98263,107512,113302,123476,126798,136373,145467,146252,158899,158521,162339,159377,165689
" ""02164"" ","Lake and Peninsula Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,51599,54468,50318,53617,54983,67152,129302,87838,75831,73769,77321,82977,86378,87204,86777,86175,95442,101587
" ""02170"" ","Matanuska-Susitna Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,969861,1093765,1195710,1299653,1419644,1502758,1574504,1664434,1784597,1936995,2073029,2168902,2225190,2313034,2469518,2483524,2471203,2594409
" ""02180"" ","Nome Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,228705,251837,264144,281412,289256,279743,344775,387499,335619,397754,417034,397967,404767,423012,438622,410666,431135,443247
" ""02185"" ","North Slope Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,3614106,4282413,4920320,6651438,9525908,12030972,14243668,18540303,12609091,13528412,15800526,15957812,14060789,11861970,6170767,5176925,6834089,7611135
" ""02188"" ","Northwest Arctic Borough, AK",8,CAGDP2,1,All industry total,Thousands of dollars,326366,289790,302774,344117,392079,546775,657011,562652,589158,699096,707076,603002,600150,608179,529218,540491,664171,693815
" ""02195"" ","Petersburg Borough, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),177673,185713,199140,188595,181484,180126,184070,173780,172817,177500
" ""02198"" ","Prince of Wales-Hyder Census Area, AK*",8,CAGDP2,1,All industry total,Thousands of dollars,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),205956,221353,229182,203440,224557,224362,209382,214907,218161,226033
